Leito;Setores;Classificação;SP_GESTOR;Nome_Municipio;C_Leito
L-440;Centro Obstétrico/Maternidade;Verde;350130;Álvares Machado;1
L-441;UTI Pediátrica;Verde;350130;Álvares Machado;1
L-442;UTI Pediátrica;Verde;351690;General Salgado;1
L-443;Enfermaria;Vermelho;351690;General Salgado;3
L-444;UTI Adulto;Verde;352880;Maracaí;1
L-445;UTI Adulto;Verde;352880;Maracaí;1
L-446;Centro Obstétrico/Maternidade;Vermelho;355150;Serrana;3
L-447;Pronto Socorro;Vermelho;355150;Serrana;3
L-448;UTI Adulto;Vermelho;352800;Macatuba;3
L-449;Enfermaria;Amarelo;352800;Macatuba;2
L-450;Centro Obstétrico/Maternidade;Amarelo;351200;Colina;2
L-451;Centro Obstétrico/Maternidade;Amarelo;351200;Colina;2
L-452;Pronto Socorro;Amarelo;351990;Iepê;2
L-453;UTI Pediátrica;Verde;351990;Iepê;1
L-454;Pronto Socorro;Amarelo;351520;Estrela d'Oeste;2
L-455;Enfermaria;Amarelo;351520;Estrela d'Oeste;2
L-456;UTI Pediátrica;Verde;354300;Ribeirão Branco;1
L-457;Enfermaria;Amarelo;354300;Ribeirão Branco;2
L-458;Enfermaria;Amarelo;351150;Cerquilho;2
L-459;Enfermaria;Vermelho;351150;Cerquilho;3
L-460;UTI Adulto;Vermelho;355080;São Sebastião da Grama;3
L-461;Centro Obstétrico/Maternidade;Amarelo;355080;São Sebastião da Grama;2
L-462;UTI Adulto;Verde;351930;Ibaté;1
L-463;Enfermaria;Verde;351930;Ibaté;1
L-464;Pronto Socorro;Verde;350840;Cabreúva;1
L-465;UTI Adulto;Amarelo;350840;Cabreúva;2
L-466;Pronto Socorro;Vermelho;353860;Piracaia;3
L-467;Pronto Socorro;Amarelo;353860;Piracaia;2
L-468;Pronto Socorro;Amarelo;350050;Águas de Lindóia;2
L-469;UTI Adulto;Amarelo;350050;Águas de Lindóia;2
L-470;Centro Obstétrico/Maternidade;Amarelo;354000;Pompéia;2
L-471;Enfermaria;Amarelo;354000;Pompéia;2
L-472;Enfermaria;Amarelo;351940;Ibirá;2
L-473;Centro Obstétrico/Maternidade;Amarelo;351940;Ibirá;2
L-474;Centro Obstétrico/Maternidade;Verde;352090;Ipaussu;1
L-475;Enfermaria;Amarelo;352090;Ipaussu;2
L-476;Enfermaria;Vermelho;354500;Salesópolis;3
L-477;UTI Pediátrica;Amarelo;354500;Salesópolis;2
L-478;UTI Adulto;Amarelo;354400;Rio das Pedras;2
L-479;Enfermaria;Amarelo;354400;Rio das Pedras;2
L-480;UTI Adulto;Vermelho;354540;Salto Grande;3
L-481;Enfermaria;Amarelo;354540;Salto Grande;2
L-482;UTI Pediátrica;Amarelo;351160;Cesário Lange;2
L-483;UTI Pediátrica;Verde;351160;Cesário Lange;1
L-484;Pronto Socorro;Amarelo;351780;Guaraçaí;2
L-485;Centro Obstétrico/Maternidade;Verde;351780;Guaraçaí;1
L-486;UTI Adulto;Amarelo;355680;Viradouro;2
L-487;Enfermaria;Amarelo;355680;Viradouro;2
L-488;UTI Adulto;Amarelo;355600;Urupês;2
L-489;Enfermaria;Verde;355600;Urupês;1
L-490;Pronto Socorro;Verde;353110;Mongaguá;1
L-491;UTI Pediátrica;Amarelo;353110;Mongaguá;2
L-492;Enfermaria;Verde;352180;Itaí;1
L-493;Pronto Socorro;Verde;352180;Itaí;1
L-494;Centro Obstétrico/Maternidade;Verde;354560;Santa Adélia;1
L-495;UTI Pediátrica;Amarelo;354560;Santa Adélia;2
L-496;UTI Adulto;Vermelho;352350;Itatinga;3
L-497;Enfermaria;Amarelo;352350;Itatinga;2
L-498;Enfermaria;Vermelho;354190;Queluz;3
L-499;Pronto Socorro;Amarelo;354190;Queluz;2
L-500;UTI Adulto;Verde;352070;Indiaporã;1
L-501;Pronto Socorro;Verde;352070;Indiaporã;1
L-502;UTI Pediátrica;Amarelo;350930;Cajobi;2
L-503;Pronto Socorro;Amarelo;350930;Cajobi;2
L-504;Centro Obstétrico/Maternidade;Verde;351510;Embu-Guaçu;1
L-505;UTI Adulto;Amarelo;351510;Embu-Guaçu;2
L-506;Pronto Socorro;Amarelo;354860;São Bento do Sapucaí;2
L-507;UTI Pediátrica;Amarelo;354860;São Bento do Sapucaí;2
L-508;UTI Adulto;Verde;350170;Américo Brasiliense;1
L-509;Enfermaria;Verde;350170;Américo Brasiliense;1
L-510;UTI Adulto;Verde;351170;Charqueada;1
L-511;UTI Adulto;Amarelo;351170;Charqueada;2
L-512;UTI Pediátrica;Amarelo;352550;Joanópolis;2
L-513;UTI Adulto;Verde;352550;Joanópolis;1
L-514;Enfermaria;Vermelho;355580;Urânia;3
L-515;UTI Pediátrica;Amarelo;355580;Urânia;2
L-516;Centro Obstétrico/Maternidade;Amarelo;355000;São Luiz do Paraitinga;2
L-517;Centro Obstétrico/Maternidade;Verde;355000;São Luiz do Paraitinga;1
L-518;UTI Pediátrica;Vermelho;352290;Itapuí;3
L-519;UTI Pediátrica;Amarelo;352290;Itapuí;2
L-520;UTI Pediátrica;Amarelo;354290;Ribeirão Bonito;2
L-521;UTI Adulto;Amarelo;354290;Ribeirão Bonito;2
L-522;Pronto Socorro;Amarelo;353290;Nova Europa;2
L-523;UTI Pediátrica;Amarelo;353290;Nova Europa;2
L-524;Enfermaria;Vermelho;352360;Itirapina;3
L-525;Enfermaria;Verde;352360;Itirapina;1
L-526;Pronto Socorro;Amarelo;351910;Iacanga;2
L-527;Centro Obstétrico/Maternidade;Verde;351910;Iacanga;1
L-528;Centro Obstétrico/Maternidade;Vermelho;355090;São Simão;3
L-529;Centro Obstétrico/Maternidade;Verde;355090;São Simão;1
L-530;UTI Pediátrica;Amarelo;354040;Populina;2
L-531;UTI Pediátrica;Amarelo;354040;Populina;2
L-532;Enfermaria;Vermelho;355360;Tapiratiba;3
L-533;Centro Obstétrico/Maternidade;Vermelho;355360;Tapiratiba;3
L-534;UTI Pediátrica;Verde;352520;Jarinu;1
L-535;Enfermaria;Vermelho;352520;Jarinu;3
L-536;Pronto Socorro;Amarelo;351230;Conchas;2
L-537;Enfermaria;Verde;351230;Conchas;1
L-538;Centro Obstétrico/Maternidade;Verde;355230;Sud Mennucci;1
L-539;UTI Pediátrica;Amarelo;355230;Sud Mennucci;2
L-540;Pronto Socorro;Vermelho;354380;Rinópolis;3
L-541;Pronto Socorro;Vermelho;354380;Rinópolis;3
L-542;Enfermaria;Vermelho;350710;Bom Jesus dos Perdões;3
L-543;UTI Pediátrica;Amarelo;350710;Bom Jesus dos Perdões;2
L-544;UTI Pediátrica;Verde;350860;Cachoeira Paulista;1
L-545;UTI Adulto;Vermelho;350860;Cachoeira Paulista;3
L-546;UTI Adulto;Amarelo;353940;Piratininga;2
L-547;Enfermaria;Amarelo;353940;Piratininga;2
L-548;UTI Adulto;Amarelo;351660;Gália;2
L-549;Enfermaria;Amarelo;351660;Gália;2
L-550;Pronto Socorro;Vermelho;350030;Aguaí;3
L-551;UTI Pediátrica;Verde;350030;Aguaí;1
L-552;Centro Obstétrico/Maternidade;Vermelho;350640;Bilac;3
L-553;Enfermaria;Vermelho;350640;Bilac;3
L-554;UTI Adulto;Verde;354490;Sales Oliveira;1
L-555;UTI Adulto;Verde;354490;Sales Oliveira;1
L-556;Enfermaria;Vermelho;354420;Riolândia;3
L-557;Centro Obstétrico/Maternidade;Verde;354420;Riolândia;1
L-558;Centro Obstétrico/Maternidade;Verde;350680;Bocaina;1
L-559;UTI Adulto;Verde;350680;Bocaina;1
L-560;Pronto Socorro;Verde;355470;Torrinha;1
L-561;UTI Pediátrica;Amarelo;355470;Torrinha;2
L-562;UTI Pediátrica;Vermelho;353200;Morungaba;3
L-563;UTI Pediátrica;Vermelho;353200;Morungaba;3
L-564;UTI Adulto;Amarelo;351310;Cravinhos;2
L-565;Centro Obstétrico/Maternidade;Vermelho;351310;Cravinhos;3
L-566;Centro Obstétrico/Maternidade;Amarelo;352810;Macaubal;2
L-567;Enfermaria;Verde;352810;Macaubal;1
L-568;UTI Pediátrica;Verde;353660;Paulo de Faria;1
L-569;Centro Obstétrico/Maternidade;Amarelo;353660;Paulo de Faria;2
L-570;Pronto Socorro;Amarelo;351760;Guapiara;2
L-571;UTI Pediátrica;Verde;351760;Guapiara;1
L-572;UTI Adulto;Amarelo;352420;Jaborandi;2
L-573;Enfermaria;Verde;352420;Jaborandi;1
L-574;Centro Obstétrico/Maternidade;Amarelo;350340;Arealva;2
L-575;Centro Obstétrico/Maternidade;Vermelho;350340;Arealva;3
L-576;UTI Pediátrica;Amarelo;350260;Aparecida d'Oeste;2
L-577;Pronto Socorro;Verde;350260;Aparecida d'Oeste;1
L-578;UTI Adulto;Amarelo;350670;Boa Esperança do Sul;2
L-579;UTI Adulto;Amarelo;350670;Boa Esperança do Sul;2
L-580;UTI Adulto;Verde;354790;Santo Antônio da Alegria;1
L-581;UTI Pediátrica;Verde;354790;Santo Antônio da Alegria;1
L-582;UTI Pediátrica;Verde;355440;Terra Roxa;1
L-583;UTI Pediátrica;Vermelho;355440;Terra Roxa;3
L-584;Enfermaria;Verde;353250;Neves Paulista;1
L-585;Centro Obstétrico/Maternidade;Verde;353250;Neves Paulista;1
L-586;Enfermaria;Amarelo;350600;Bauru;2
L-587;Pronto Socorro;Vermelho;350600;Bauru;3
L-588;UTI Adulto;Vermelho;355200;Silveiras;3
L-589;Centro Obstétrico/Maternidade;Amarelo;355200;Silveiras;2
L-590;Pronto Socorro;Amarelo;350310;Arandu;2
L-591;UTI Pediátrica;Verde;350310;Arandu;1
L-592;Pronto Socorro;Vermelho;350110;Alto Alegre;3
L-593;UTI Adulto;Verde;350110;Alto Alegre;1
L-594;UTI Pediátrica;Vermelho;351210;Colômbia;3
L-595;Centro Obstétrico/Maternidade;Amarelo;351210;Colômbia;2
